1, 1,      24.9231447,	66.7129064,	 117.658079, 18938.22039
2, 2,      35.522439,	    90.554055,	 154.003509, 18782.947837
3, 3,      48.463882,	    185.13014,	 257.009115, 19487.080966
4, 4,      51.795899,	    203.015906,	 497.75184,  21332.0989
5, 5,      61.787143,	    361.11454,	 727.179236, 21090.837232

