1, 20,	6.0233,	        21.440692,	    94.043467,   2154.672128
2, 40,	12.5418468,	    78.74762,	    114.475641,  4192.38759
3, 60,	16.0943762,	    108.3357149,	161.431018,  6478.088946
4, 80,	18.9262724,	    142.3917523, 	207.012036,  8576.774703
5, 100,	32.1451382,	    152.6873901,	219.110185,  10938.460114

