1,0,	1.337976,	4.196,	1.894027
2,0,	1.566168,	9.404,	3.725667
3,0,	2.016689,	13.656,	5.6048
4,0,	3.042436,	14.528,	6.29771
5,0,	4.716108,	18.83,	7.100873
