1, 20,	0.1320151,	    1.3756532,	   4.4870792,  254 
2, 40,	0.6621432,	    3.1143988,	   6.804964,   566
3, 60,	1.1755643,	    5.090257,	7.4636826,   795
4, 80,	1.6577353,	    7.0391044, 	10.0996814,   1055 
5, 100,	1.9257596,	    7.969963,	12.3515552,   1449

