1,1,	24.029684,	151.3285193,	221.594968,   6198.200433
2,2,	29.4052486,	152.6873901,	317.377746,   6504.96854
3,3,	32.1451382,	174.147925, 	414.107843,   6733.69706
4,4,	35.5792143,	214.303775, 	686.5607,     6702.80595
5,5,	39.53647,	236.564006,  	947.6173,     6959.088954

